timestamp,hour,day_of_week,month,is_weekend,is_holiday,temperature_c,rainfall_mm,occupancy_pct,hostel_a_kl,hostel_b_kl,academic_kl,canteen_kl,gardens_kl,admin_lab_kl,total_kl,prev_day_total
2024-01-01 00:00:00,0,0,1,0,1,22.7,0.0,0.0,0.493,0.391,0.206,0.206,0.1,0.066,1.423,1800.0
2024-01-01 00:15:00,0,0,1,0,1,23.5,0.0,0.0,0.477,0.464,0.191,0.191,0.1,0.061,1.449,1800.0
2024-01-01 00:30:00,0,0,1,0,1,22.4,0.0,0.0,0.404,0.476,0.17,0.191,0.1,0.054,1.356,1800.0
2024-01-01 00:45:00,0,0,1,0,1,20.9,0.0,0.0,0.573,0.43,0.201,0.172,0.1,0.064,1.486,1800.0
2024-01-01 01:00:00,1,0,1,0,1,21.2,0.0,0.0,0.506,0.414,0.219,0.206,0.1,0.07,1.462,1800.0
2024-01-01 01:15:00,1,0,1,0,1,21.0,0.0,0.0,0.499,0.393,0.216,0.176,0.1,0.069,1.403,1800.0
2024-01-01 01:30:00,1,0,1,0,1,22.3,0.0,0.0,0.402,0.45,0.218,0.18,0.1,0.07,1.378,1800.0
2024-01-01 01:45:00,1,0,1,0,1,19.6,0.0,0.0,0.477,0.487,0.207,0.165,0.1,0.066,1.438,1800.0
2024-01-01 02:00:00,2,0,1,0,1,22.5,0.0,0.0,0.481,0.466,0.218,0.218,0.1,0.07,1.509,1800.0
2024-01-01 02:15:00,2,0,1,0,1,23.1,0.0,0.0,0.458,0.426,0.207,0.22,0.1,0.066,1.441,1800.0
2024-01-01 02:30:00,2,0,1,0,1,21.3,0.0,0.0,0.491,0.492,0.182,0.217,0.1,0.058,1.488,1800.0
2024-01-01 02:45:00,2,0,1,0,1,22.4,0.0,0.0,0.518,0.412,0.207,0.231,0.1,0.066,1.491,1800.0
2024-01-01 03:00:00,3,0,1,0,1,21.9,0.0,0.0,0.578,0.422,0.199,0.172,0.1,0.064,1.488,1800.0
2024-01-01 03:15:00,3,0,1,0,1,23.6,0.0,0.0,0.489,0.456,0.23,0.19,0.1,0.073,1.504,1800.0
2024-01-01 03:30:00,3,0,1,0,1,20.8,0.0,0.0,0.475,0.462,0.223,0.205,0.1,0.071,1.481,1800.0
2024-01-01 03:45:00,3,0,1,0,1,22.5,0.0,0.0,0.505,0.483,0.186,0.193,0.1,0.06,1.484,1800.0
2024-01-01 04:00:00,4,0,1,0,1,21.4,0.0,0.0,0.427,0.323,0.207,0.192,0.1,0.066,1.272,1800.0
2024-01-01 04:15:00,4,0,1,0,1,21.6,0.0,0.0,0.492,0.458,0.238,0.203,0.1,0.076,1.517,1800.0
2024-01-01 04:30:00,4,0,1,0,1,22.4,0.0,0.0,0.496,0.439,0.167,0.179,0.1,0.053,1.394,1800.0
