date,total_kl,temp_mean,temp_max,rainfall_mm,is_weekend,is_holiday,occupancy_mean,day_of_week,month,prev_day_kl,rolling7_kl
2024-01-01,454.903,22.067708333333332,26.6,17.0,0,1,0.0,0,1,532.7022421340629,532.7022421340629
2024-01-02,454.252,22.023958333333336,25.8,6.5,0,1,0.0,1,1,454.903,454.903
2024-01-03,449.642,22.233333333333334,25.4,16.0,0,1,0.0,2,1,454.252,454.5775
2024-01-04,451.93,21.895833333333332,25.2,26.3,0,1,0.0,3,1,449.642,452.93233333333336
2024-01-05,446.995,21.96666666666667,26.0,10.3,0,1,0.0,4,1,451.93,452.68175
2024-01-06,392.484,22.126041666666666,26.1,25.9,1,1,0.0,5,1,446.995,451.54440000000005
2024-01-07,390.036,22.097916666666666,25.9,7.0,1,1,0.0,6,1,392.484,441.701
2024-01-08,549.158,21.880208333333332,25.2,34.0,0,0,0.7040625,0,1,390.036,434.3202857142857
2024-01-09,558.259,22.150000000000002,26.7,17.5,0,0,0.7047916666666666,1,1,549.158,447.7852857142857
2024-01-10,557.591,22.009375000000002,26.1,1.8,0,0,0.6920833333333333,2,1,558.259,462.64342857142856
2024-01-11,554.816,22.16875,24.9,18.6,0,0,0.69375,3,1,557.591,478.0647142857143
2024-01-12,558.237,22.161458333333332,25.0,38.0,0,0,0.6940624999999999,4,1,554.816,492.76271428571437
2024-01-13,387.489,21.932291666666668,26.2,30.6,1,0,0.0,5,1,558.237,508.6544285714286
2024-01-14,387.47,22.126041666666666,26.0,16.200000000000003,1,0,0.0,6,1,387.489,507.9408571428571
2024-01-15,557.315,22.128125,25.1,7.1,0,0,0.6986458333333333,0,1,387.47,507.57428571428574
2024-01-16,560.042,21.967708333333334,26.1,0.0,0,0,0.6985416666666667,1,1,557.315,508.7395714285714
2024-01-17,562.243,21.742708333333336,25.0,19.1,0,0,0.6941666666666667,2,1,560.042,508.9942857142857
2024-01-18,557.511,21.70104166666667,24.7,68.1,0,0,0.7038541666666666,3,1,562.243,509.65885714285713
2024-01-19,556.103,21.815625,27.1,5.7,0,0,0.7059375,4,1,557.511,510.0438571428571
2024-01-20,389.026,22.10729166666667,25.7,6.199999999999999,1,0,0.0,5,1,556.103,509.739
2024-01-21,389.066,22.025000000000002,25.3,5.5,1,0,0.0,6,1,389.026,509.9585714285715
2024-01-22,561.225,22.105208333333334,25.0,38.4,0,0,0.7005208333333334,0,1,389.066,510.1865714285714
2024-01-23,562.671,22.053124999999998,25.4,7.3,0,0,0.6976041666666667,1,1,561.225,510.74514285714287
2024-01-24,561.703,22.344791666666666,27.2,13.0,0,0,0.703125,2,1,562.671,511.1207142857143
2024-01-25,560.906,21.678124999999998,24.9,3.3,0,0,0.6955208333333333,3,1,561.703,511.0435714285714
2024-01-26,560.405,22.1375,26.1,1.3,0,0,0.7019791666666667,4,1,560.906,511.5285714285714
2024-01-27,388.864,21.95104166666667,25.1,35.0,1,0,0.0,5,1,560.405,512.1431428571428
2024-01-28,387.407,21.902083333333334,26.6,20.5,1,0,0.0,6,1,388.864,512.12
2024-01-29,553.463,21.928124999999998,26.7,53.3,0,0,0.7098958333333334,0,1,387.407,511.883
2024-01-30,555.274,22.011458333333334,26.7,0.0,0,0,0.7042708333333333,1,1,553.463,510.77414285714286
2024-01-31,560.624,21.972916666666666,25.1,7.9,0,0,0.6971875000000001,2,1,555.274,509.71742857142857
2024-02-01,564.449,22.911458333333332,26.4,38.2,0,0,0.7025,3,2,560.624,509.56328571428566
2024-02-02,556.249,22.454166666666666,26.0,12.8,0,0,0.694375,4,2,564.449,510.06942857142855
2024-02-03,395.151,22.945833333333336,26.3,19.599999999999998,1,0,0.0,5,2,556.249,509.4757142857143
2024-02-04,390.572,22.754166666666666,26.2,41.8,1,0,0.0,6,2,395.151,510.37385714285716
2024-02-05,551.069,22.592708333333334,26.7,13.7,0,0,0.7023958333333334,0,2,390.572,510.82599999999996
2024-02-06,560.818,22.797916666666666,26.1,17.0,0,0,0.6905208333333334,1,2,551.069,510.484
2024-02-07,558.071,22.733333333333334,25.9,3.2,0,0,0.7014583333333334,2,2,560.818,511.27599999999995
2024-02-08,550.408,22.539583333333336,25.7,23.300000000000004,0,0,0.6997916666666667,3,2,558.071,510.9112857142857
2024-02-09,557.732,22.46666666666667,26.1,18.3,0,0,0.7016666666666667,4,2,550.408,508.90542857142856
2024-02-10,396.293,22.914583333333336,26.6,25.5,1,0,0.0,5,2,557.732,509.1172857142857
2024-02-11,397.062,22.521874999999998,25.5,16.4,1,0,0.0,6,2,396.293,509.28042857142856
2024-02-12,555.535,22.771874999999998,26.2,9.1,0,0,0.694375,0,2,397.062,510.2075714285715
2024-02-13,566.932,22.81458333333333,27.2,12.1,0,0,0.6967708333333333,1,2,555.535,510.8455714285714
2024-02-14,559.657,22.848958333333332,28.3,24.6,0,0,0.6971875,2,2,566.932,511.719
2024-02-15,555.194,22.881249999999998,26.4,23.5,0,0,0.7042708333333333,3,2,559.657,511.94557142857144
2024-02-16,558.269,23.030208333333334,26.7,25.2,0,0,0.6893750000000001,4,2,555.194,512.6292857142857
2024-02-17,386.627,22.838541666666668,26.7,24.0,1,0,0.0,5,2,558.269,512.706
2024-02-18,385.357,22.70625,26.8,51.5,1,0,0.0,6,2,386.627,511.3251428571429
2024-02-19,557.256,22.773958333333336,26.6,53.3,0,0,0.7022916666666666,0,2,385.357,509.65299999999996
2024-02-20,557.77,22.652083333333334,27.3,16.8,0,0,0.7019791666666667,1,2,557.256,509.89885714285714
2024-02-21,565.141,22.719791666666666,26.3,35.099999999999994,0,0,0.7003125,2,2,557.77,508.59000000000003
2024-02-22,562.059,22.650000000000002,26.2,7.8999999999999995,0,0,0.711875,3,2,565.141,509.3734285714286
2024-02-23,558.125,22.82604166666667,26.6,22.2,0,0,0.7007291666666666,4,2,562.059,510.35414285714285
2024-02-24,389.257,22.51875,25.6,17.0,1,0,0.0,5,2,558.125,510.3335714285714
2024-02-25,390.859,22.677083333333332,26.1,0.9,1,0,0.0,6,2,389.257,510.70928571428567
2024-02-26,563.942,22.818749999999998,27.0,9.200000000000001,0,0,0.7026041666666667,0,2,390.859,511.49528571428567
2024-02-27,560.375,22.823958333333334,25.9,5.6000000000000005,0,0,0.6996875,1,2,563.942,512.4504285714286
2024-02-28,560.164,22.882291666666664,26.3,17.6,0,0,0.7014583333333334,2,2,560.375,512.8225714285715
2024-02-29,551.936,22.59583333333333,25.9,57.1,0,0,0.7020833333333334,3,2,560.164,512.1115714285714
2024-03-01,604.191,24.967708333333334,28.6,6.9,0,0,0.6974999999999999,4,3,551.936,510.6654285714286
2024-03-02,434.423,24.99791666666667,28.4,8.7,1,0,0.0,5,3,604.191,517.2462857142857
2024-03-03,439.052,25.0625,28.4,34.2,1,0,0.0,6,3,434.423,523.6985714285714
2024-03-04,604.916,24.91979166666667,29.2,36.0,0,0,0.699375,0,3,439.052,530.5832857142857
2024-03-05,601.837,25.243750000000002,28.4,11.2,0,0,0.6988541666666667,1,3,604.916,536.4367142857143
2024-03-06,605.525,25.28333333333333,30.3,9.0,0,0,0.7000000000000001,2,3,601.837,542.3598571428572
2024-03-07,603.651,25.256249999999998,28.5,18.3,0,0,0.7019791666666667,3,3,605.525,548.84
2024-03-08,606.445,25.197916666666668,29.4,0.2,0,0,0.6992708333333333,4,3,603.651,556.2278571428571
2024-03-09,439.016,25.34166666666667,28.8,4.1,1,0,0.0,5,3,606.445,556.5498571428571
2024-03-10,438.109,24.964583333333334,28.6,9.2,1,0,0.0,6,3,439.016,557.206
2024-03-11,599.071,25.098958333333332,29.3,29.1,0,0,0.7022916666666666,0,3,438.109,557.0712857142858
2024-03-12,604.847,25.166666666666668,29.5,30.2,0,0,0.7007291666666666,1,3,599.071,556.2362857142857
2024-03-13,611.811,24.713541666666668,28.4,19.2,0,0,0.7038541666666666,2,3,604.847,556.6662857142857
2024-03-14,595.035,24.952083333333334,28.8,22.599999999999998,0,0,0.6959375,3,3,611.811,557.5642857142857
2024-03-15,603.391,25.061458333333334,28.9,25.4,0,0,0.6847916666666666,4,3,595.035,556.3334285714285
2024-03-16,423.512,24.89375,29.0,12.700000000000001,1,0,0.0,5,3,603.391,555.8971428571429
2024-03-17,433.115,25.165625000000002,28.1,0.0,1,0,0.0,6,3,423.512,553.6822857142857
2024-03-18,608.263,24.965625,27.9,17.6,0,0,0.7105208333333333,0,3,433.115,552.9688571428571
2024-03-19,600.021,25.030208333333334,28.3,36.2,0,0,0.69375,1,3,608.263,554.282
2024-03-20,609.615,24.954166666666666,28.5,0.0,0,0,0.7047916666666666,2,3,600.021,553.5925714285714
2024-03-21,598.466,25.243750000000002,29.1,16.7,0,0,0.7014583333333334,3,3,609.615,553.2788571428572
2024-03-22,614.172,24.983333333333334,28.0,31.8,0,0,0.6940624999999999,4,3,598.466,553.769
2024-03-23,432.415,25.146874999999998,29.6,0.0,1,0,0.0,5,3,614.172,555.3091428571429
2024-03-24,435.339,25.045833333333334,28.6,11.9,1,0,0.0,6,3,432.415,556.581
2024-03-25,610.429,25.282291666666666,29.2,21.0,0,0,0.7060416666666667,0,3,435.339,556.8987142857143
2024-03-26,613.02,24.865624999999998,29.6,0.0,0,0,0.7053124999999999,1,3,610.429,557.2081428571429
2024-03-27,594.924,25.204166666666666,28.4,18.9,0,0,0.69875,2,3,613.02,559.0651428571429
2024-03-28,603.323,24.865624999999998,28.6,8.1,0,0,0.6989583333333332,3,3,594.924,556.9664285714287
2024-03-29,600.889,24.844791666666666,28.9,14.0,0,0,0.6986458333333334,4,3,603.323,557.6602857142857
2024-03-30,429.204,25.010416666666668,29.1,27.1,1,0,0.0,5,3,600.889,555.7627142857143
2024-03-31,430.953,25.026041666666668,28.8,0.0,1,0,0.0,6,3,429.204,555.304
2024-04-01,613.01,28.010416666666668,31.9,43.5,0,0,0.6934375,0,4,430.953,554.6774285714285
2024-04-02,607.378,28.108333333333334,32.2,34.2,0,0,0.7043750000000001,1,4,613.01,555.0461428571429
2024-04-03,622.271,28.313541666666666,32.0,41.2,0,0,0.705625,2,4,607.378,554.2401428571428
2024-04-04,615.677,28.133333333333336,31.3,7.5,0,0,0.7016666666666667,3,4,622.271,558.1468571428571
2024-04-05,609.74,27.848958333333332,31.9,18.299999999999997,0,0,0.7045833333333333,4,4,615.677,559.9117142857143
2024-04-06,443.264,28.364583333333332,32.6,0.0,1,0,0.0,5,4,609.74,561.1761428571428
2024-04-07,435.338,28.014583333333334,31.3,42.1,1,0,0.0,6,4,443.264,563.1847142857143
2024-04-08,615.509,27.936458333333334,30.9,0.4,0,0,0.7016666666666667,0,4,435.338,563.811142857143
2024-04-09,617.799,28.057291666666668,31.4,20.099999999999998,0,0,0.6983333333333334,1,4,615.509,564.1681428571429
2024-04-10,503.466,28.10625,32.4,0.0,0,1,0.0,2,4,617.799,565.6568571428571
2024-04-11,502.07099999999997,27.910416666666666,31.4,5.4,0,1,0.0,3,4,503.466,548.6847142857143
2024-04-12,498.436,27.942708333333332,32.1,29.9,0,1,0.0,4,4,502.07099999999997,532.4552857142857
2024-04-13,439.662,28.303124999999998,31.7,30.4,1,1,0.0,5,4,498.436,516.5547142857143
2024-04-14,443.653,28.119791666666668,31.5,11.4,1,1,0.0,6,4,439.662,516.0401428571429
2024-04-15,499.318,28.162499999999998,32.8,12.7,0,1,0.0,0,4,443.653,517.228
2024-04-16,500.28499999999997,28.037499999999998,32.1,7.5,0,1,0.0,1,4,499.318,500.6292857142857
2024-04-17,502.686,27.959374999999998,32.4,13.0,0,1,0.0,2,4,500.28499999999997,483.84157142857146
2024-04-18,491.418,27.985416666666666,31.6,30.400000000000002,0,1,0.0,3,4,502.686,483.7301428571428
2024-04-19,500.803,28.087500000000002,31.6,12.5,0,1,0.0,4,4,491.418,482.20828571428575
2024-04-20,439.658,27.922916666666666,31.2,15.1,1,1,0.0,5,4,500.803,482.5464285714285
2024-04-21,434.357,27.971875,31.5,29.2,1,1,0.0,6,4,439.658,482.54585714285713
2024-04-22,494.801,27.75208333333333,33.2,18.200000000000003,0,1,0.0,0,4,434.357,481.21785714285716
2024-04-23,503.919,28.130208333333332,31.7,13.6,0,1,0.0,1,4,494.801,480.57257142857145
2024-04-24,501.11,27.925,33.6,27.8,0,1,0.0,2,4,503.919,481.09171428571426
2024-04-25,503.915,28.03333333333333,31.7,0.0,0,1,0.0,3,4,501.11,480.8665714285715
2024-04-26,499.50600000000003,27.917708333333334,31.0,48.3,0,1,0.0,4,4,503.915,482.6518571428572
2024-04-27,436.293,27.787499999999998,31.1,14.8,1,1,0.0,5,4,499.50600000000003,482.46657142857146
2024-04-28,435.649,28.23645833333333,31.1,3.9,1,1,0.0,6,4,436.293,481.9858571428572
2024-04-29,504.984,28.026041666666668,33.1,31.099999999999998,0,1,0.0,0,4,435.649,482.17042857142854
2024-04-30,509.289,28.35625,32.2,34.800000000000004,0,1,0.0,1,4,504.984,483.6251428571428
2024-05-01,505.4,30.880208333333332,34.7,32.3,0,1,0.0,2,5,509.289,484.3922857142857
2024-05-02,506.367,30.932291666666668,34.7,6.6,0,1,0.0,3,5,505.4,485.00514285714286
2024-05-03,505.002,30.91979166666667,34.7,41.6,0,1,0.0,4,5,506.367,485.35542857142855
2024-05-04,442.836,30.844791666666666,35.0,54.7,1,1,0.0,5,5,505.002,486.14057142857143
2024-05-05,446.279,30.81458333333333,33.5,5.5,1,1,0.0,6,5,442.836,487.0752857142857
2024-05-06,511.41700000000003,31.087500000000002,33.7,8.6,0,1,0.0,0,5,446.279,488.5938571428572
2024-05-07,499.317,30.91875,34.4,0.0,0,1,0.0,1,5,511.41700000000003,489.5128571428572
2024-05-08,505.947,30.985416666666666,34.0,46.4,0,1,0.0,2,5,499.317,488.0882857142857
2024-05-09,508.208,30.946875000000002,34.0,8.2,0,1,0.0,3,5,505.947,488.1664285714286
2024-05-10,507.099,30.84583333333333,34.4,3.8,0,1,0.0,4,5,508.208,488.4294285714286
2024-05-11,448.843,30.916666666666668,34.6,42.4,1,1,0.0,5,5,507.099,488.729
2024-05-12,444.866,31.133333333333336,35.2,40.0,1,1,0.0,6,5,448.843,489.58714285714285
2024-05-13,497.187,30.954166666666666,34.2,55.3,0,1,0.0,0,5,444.866,489.3852857142857
2024-05-14,514.797,31.162499999999998,35.0,47.9,0,1,0.0,1,5,497.187,487.35242857142856
2024-05-15,497.128,31.010416666666668,35.6,63.800000000000004,0,1,0.0,2,5,514.797,489.56385714285716
2024-05-16,507.152,31.109375,33.8,7.800000000000001,0,1,0.0,3,5,497.128,488.30400000000003
2024-05-17,505.764,30.89375,34.5,56.4,0,1,0.0,4,5,507.152,488.1531428571429
2024-05-18,445.61,31.193749999999998,35.0,9.1,1,1,0.0,5,5,505.764,487.9624285714286
2024-05-19,447.382,31.071875000000002,34.6,31.4,1,1,0.0,6,5,445.61,487.5005714285714
2024-05-20,512.743,30.963541666666668,34.8,13.1,0,1,0.0,0,5,447.382,487.86
2024-05-21,507.31600000000003,30.882291666666664,33.9,0.5,0,1,0.0,1,5,512.743,490.0822857142857
2024-05-22,505.787,31.055208333333336,35.2,4.7,0,1,0.0,2,5,507.31600000000003,489.0135714285715
2024-05-23,507.769,31.0625,35.4,4.5,0,1,0.0,3,5,505.787,490.2505714285714
2024-05-24,511.645,31.086458333333336,35.9,16.8,0,1,0.0,4,5,507.769,490.3387142857142
2024-05-25,445.69,30.927083333333332,33.9,20.6,1,1,0.0,5,5,511.645,491.1788571428571
2024-05-26,446.293,31.321875000000002,35.3,34.9,1,1,0.0,6,5,445.69,491.1902857142857
2024-05-27,516.488,30.825,34.9,22.799999999999997,0,1,0.0,0,5,446.293,491.0347142857143
2024-05-28,508.996,31.027083333333334,34.5,9.2,0,1,0.0,1,5,516.488,491.5697142857143
2024-05-29,511.431,31.098958333333332,35.1,27.1,0,1,0.0,2,5,508.996,491.8097142857143
2024-05-30,508.655,30.86145833333333,34.9,31.4,0,1,0.0,3,5,511.431,492.616
2024-05-31,511.723,31.010416666666668,34.6,22.9,0,1,0.0,4,5,508.655,492.74257142857147
2024-06-01,447.914,33.020833333333336,37.8,49.5,1,0,0.0,5,6,511.723,492.75371428571435
2024-06-02,442.831,33.27395833333333,36.9,113.2,1,0,0.0,6,6,447.914,493.07142857142856
2024-06-03,621.752,33.25625,36.7,157.4,0,0,0.7123958333333333,0,6,442.831,492.57685714285714
2024-06-04,621.294,33.04479166666667,37.9,161.6,0,0,0.7055208333333334,1,6,621.752,507.6145714285714
2024-06-05,614.896,33.14270833333333,37.5,163.9,0,0,0.6909375,2,6,621.294,523.6571428571428
2024-06-06,618.32,33.458333333333336,37.3,148.2,0,0,0.691875,3,6,614.896,538.4378571428572
2024-06-07,622.588,33.13645833333333,37.7,152.4,0,0,0.6954166666666667,4,6,618.32,554.1042857142857
2024-06-08,450.662,33.327083333333334,37.8,38.8,1,0,0.0,5,6,622.588,569.9421428571428
2024-06-09,450.428,33.171875,37.8,56.6,1,0,0.0,6,6,450.662,570.3347142857143
2024-06-10,626.666,32.99166666666667,36.5,56.8,0,0,0.7034375,0,6,450.428,571.42
2024-06-11,621.378,33.31979166666667,37.0,74.2,0,0,0.7003125,1,6,626.666,572.1220000000001
2024-06-12,623.943,32.885416666666664,36.3,146.9,0,0,0.7077083333333333,2,6,621.378,572.134
2024-06-13,626.468,33.092708333333334,36.7,123.3,0,0,0.6896874999999999,3,6,623.943,573.4264285714286
2024-06-14,617.803,33.321875,36.6,123.10000000000001,0,0,0.7030208333333333,4,6,626.468,574.5904285714286
2024-06-15,442.558,33.275,36.4,213.5,1,0,0.0,5,6,617.803,573.9068571428571
2024-06-16,446.162,33.197916666666664,36.4,106.0,1,0,0.0,6,6,442.558,572.7491428571428
